,name,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,trstbefore,trstafter,trstdiff,dist01,dist02,dist21,dist0b,dist2b,bdec30,wdec30,label
263,Yam11_Kob_0302_1,4,41,0.001113801496103406,-6.799976343567189,0.994504202734402,0.9943791600153582,-0.0001250427190437886,23.4859748086923,22.920592129583078,-0.5653826791092236,0.0,-0.010109983753507868,0.0006405518086689394,-0.010750535562176807,13.406416388111627,13.691801245172325,0.2853848570606949,1.0,1.0,0.0,0.0,0.0,0,0,0
264,Oon04_Kob_0329_4,2,59,0.0010642623528838158,-6.845473346197402,0.5421490145144467,0.3433852117876387,-0.19876380272680805,-0.5137829763346675,-3.215156462158153,-2.7013734858234857,6.708203932499369,-0.7415743283498601,0.5956399279860358,-1.337214256335896,11.098139332297533,14.930839304874866,3.832699972577332,1.0,1.0,0.0,6.708203932499369,6.708203932499369,4,6,0
265,Sat05_Kob_0301_3,4,75,0.0012390231713652606,-6.6934319748431275,0.04123918970333251,0.013238975668609987,-0.028000214034722533,-5.6291889022616095,-11.105391001852524,-5.476202099590916,3.0,0.8065863309717157,0.9700117669576916,-0.16342543598597592,8.389475086089785,7.128255085204451,-1.2612200008853345,2.0,2.0,0.0,3.0,3.0,3,2,0
266,Oon09_Sue_0329_9,2,7,0.0008993252995423973,-7.013865742956033,0.9935424015817879,0.9935092738519806,-3.312772980734735e-05,26.657428369970226,25.71210947713119,-0.9453188928390368,0.0,0.12263738981996684,0.11949531913730545,0.0031420706826613964,18.940199956407625,18.508924935264176,-0.43127502114344907,3.6055512754639887,3.6055512754639887,0.0,0.0,0.0,0,0,0
267,Tak18_Kob_0329_11,2,23,0.0008608264615759254,-7.057617628350887,0.9951229088298914,0.9950016489572648,-0.0001212598726265668,31.567010560995907,30.356814257741398,-1.2101963032545022,0.0,-0.8245445214707812,-0.8260460989816278,0.0015015775108466745,18.86743123231986,18.25155666701465,-0.6158745653052122,1.0,1.0,0.0,0.0,0.0,0,0,0
268,Yas01_cho_0328_1,2,83,0.048776272684335716,-3.020511299849037,0.9812064214388296,0.9853389435263092,0.004132522087479384,4.853445751737602,3.9399019053689983,-0.9135438463686034,0.0,0.9504950414028313,0.9751338012061184,-0.024638759803287003,5.978300147264973,4.662544615236887,-1.3157555320280858,7.071067811865476,7.071067811865476,0.0,0.0,0.0,0,0,0
269,Sat05_Kob_0301_3,4,21,0.0016395481070503592,-6.413334619596872,0.997479067156691,0.9968941482338955,-0.000584918922795441,46.64387019072952,39.16819940601149,-7.4756707847180355,3.0,0.4552770365484836,0.4059319851817806,0.049345051366702974,24.754815000044808,22.721489727974127,-2.0333252720706843,7.0,7.0,0.0,3.0,3.0,0,0,1
270,Mas04_Sue_0327_2,4,5,0.0013995663030073047,-6.571592873919977,0.9976449559604844,0.9977420644020268,9.710844154231513e-05,58.739025265640116,55.76741582114009,-2.9716094445000323,7.0710678118654755,0.20531986685518352,0.2537797117040034,-0.04845984484881985,26.80450331161308,24.132220045576872,-2.67228326603621,5.385164807134505,5.385164807134505,0.0,7.0710678118654755,7.0710678118654755,0,0,0
271,Oon12_Sue_0329_12,2,25,0.0028754356317222127,-5.8515510921341445,0.9741246891441768,0.9404495702197212,-0.03367511892445564,15.957373114250547,12.72747685106369,-3.2298962631868573,1.0,0.5379318725504456,0.5918524044954016,-0.05392053194495594,16.057641136735207,16.398684072716886,0.3410429359816761,1.0,1.0,0.0,1.0,1.0,1,0,0
272,Yas04_cho_0328_4,2,43,0.008711306378245355,-4.743133513343224,0.9882538420937722,0.9814394747122572,-0.006814367381515085,20.388506658843298,15.095526880501671,-5.292979778341628,5.0,0.7391039336755483,0.3386996848183785,0.4004042488571698,16.572364432197894,15.205732191483223,-1.366632240714674,3.1622776601683795,3.1622776601683795,0.0,5.0,5.0,1,7,1
273,Sat06_Sue_0301_4,4,105,0.23120808601379395,-1.4644371686873892,0.99815829076344,0.9984959378989676,0.00033764713552764114,5.468968709597492,4.649433614027659,-0.8195350955698331,4.47213595499958,0.4714946498229442,0.5016694557797584,-0.030174805956814262,3.7667608298194457,2.6321144515224506,-1.134646378296995,2.0,2.0,0.0,4.47213595499958,4.47213595499958,0,0,0
274,Yam04_Kob_0229_1,3,47,0.02395898662507534,-3.7314118010752613,0.12621123152307245,0.04702779484894504,-0.07918343667412743,-7.849366109272577,-13.882162573611915,-6.03279646433934,2.23606797749979,-0.09559756953787404,-0.5504658253537469,0.4548682558158729,14.943004711888342,16.76500691747468,1.8220022055863367,2.0,2.0,0.0,2.23606797749979,2.23606797749979,0,1,1
275,Yas08_Kob_0328_8,2,113,0.0010816896101459859,-6.829231006490192,0.9814201917522518,0.9813999984823968,-2.019326985513992e-05,4.34193676659225,4.022353503916594,-0.3195832626756561,0.0,0.9997423195238321,0.9997605226242638,-1.820310043187945e-05,6.263750465857085,5.959028397318081,-0.3047220685390064,5.0,5.0,0.0,0.0,0.0,0,0,0
