name,handi,move,wrbefore,wrafter,wrdiff,shaperat,shapelog,pntavebf,pntaveaf,pntavediff,pntstdbf,pntstdaf,pntstddiff,dist01,dist12,dist20,dist0b,dist1b,dist2b,lastown1,afterown1,diffown1,lastown2,afterown2,diffown2,bdec30,bdecsum,wdec30,wdecsum,label1,label2,rand
Koi02_Kob_0328_2,2,63,0.621622,0.629968,0.008346,22.40809643,20.06367081,-8.44691,-9.11966,-0.67275,44.8126,44.4847,-0.3279,1.414213562,2.236067977,2.236067977,1.414213562,0,2.236067977,54,59,5,55.25,53.75,-1.5,0,15,1,42,bad,KATACHI,0.542604039
Koi03_Sue_0328_3,2,41,0.398157,0.408576,0.010419,34.43003233,21.16857979,6.78517,4.6611,-2.12407,42.71,40.8806,-1.8294,1.414213562,1,1,1,1,0,69,80,11,60.25,58.25,-2,0,25,1,70,bad,POKA,0.553884249
Koi04_Sue_0328_4,2,13,0.442041,0.470538,0.028497,12.90747862,19.23209692,6.98635,5.04121,-1.94514,46.54,49.7932,3.2532,3,2.828427125,2.236067977,1,3.16227766,1.414213562,35,58,23,45.375,35.875,-9.5,0,204,1,228,bad,HOUCHI,0.971245914
Koi04_Sue_0328_4,2,17,0.478951,0.47019,-0.008761,7.442825498,18.88913943,3.81694,5.4118,1.59486,48.9364,51.1598,2.2234,1.414213562,1,2.236067977,1,2.236067977,3.16227766,49,69,20,53.75,50.875,-2.875,0,43,0,35,bad,KATACHI,0.465780019
Koi04_Sue_0328_4,2,33,0.461875,0.477594,0.015719,0.083496674,15.01108983,5.82527,3.53345,-2.29182,51.3945,47.9213,-3.4732,8.544003745,2,6.708203932,1,8.246211251,6.32455532,47,80,33,55.5,45,-10.5,0,247,0,249,bad,HOUCHI,0.132306151
Koi04_Sue_0328_4,2,37,0.512373,0.538023,0.02565,65.06141232,22.67257731,0.168781,-0.977705,-1.146486,47.2188,49.6347,2.4159,1,2.236067977,2,2.236067977,2,1,77,83,6,57.25,55.75,-1.5,0,25,0,24,bad,HOUCHI,0.832551359
Mas01_cho_0322_1,4,15,0.226946,0.225712,-0.001234,0.050691146,13.83399467,33.0486,33.4471,0.3985,46.541,46.1187,-0.4223,4.123105626,1.414213562,3,1,5.099019514,4,56,90,34,56.25,51.375,-4.875,0,61,0,101,bad,SOPPO,0.935728868
Mas01_cho_0322_1,4,19,0.22025,0.22395,0.0037,0.027349924,12.32509935,33.9102,31.9834,-1.9268,45.7673,43.8932,-1.8741,8.544003745,11.40175425,4.123105626,3,10,1.414213562,68,95,27,46.125,33.75,-12.375,2,209,3,308,bad,BIBIRI,0.192893649
Mas01_cho_0322_1,4,21,0.22395,0.225542,0.001592,2.491605714,17.83994969,31.9834,32.3776,0.3942,43.8932,44.7915,0.8983,3.16227766,4.123105626,7,1,3.605551275,7.071067812,53,77,24,50.875,42.25,-8.625,0,113,1,175,bad,AJIKESHI,0.266910802
Mas01_cho_0322_1,4,23,0.225542,0.236578,0.011036,27.44085235,19.86827038,32.3776,30.8043,-1.5733,44.7915,44.7283,-0.0632,1,1,1.414213562,5.830951895,5.385164807,4.472135955,67,89,22,45.625,44.25,-1.375,0,18,0,57,bad,OTUKIAI,0.121994417
Mas01_cho_0322_1,4,31,0.269457,0.303704,0.034247,3.201308096,17.66354776,23.6413,21.0029,-2.6384,40.7391,43.011,2.2719,2.828427125,2,4.472135955,3.16227766,5.830951895,7.071067812,38,61,23,52.125,28.5,-23.625,0,76,0,115,bad,KATACHI,0.417509133
Mas02_Kob_0325_1,4,27,0.234431,0.265184,0.030753,0.170386099,15.16765541,33.9233,30.6976,-3.2257,47.7946,49.6878,1.8932,2,2.236067977,1,1,2.236067977,0,44,80,36,57.5,56.625,-0.875,0,48,1,129,bad,BIBIRI,0.916870682
Mas02_Kob_0325_1,4,37,0.2219,0.216234,-0.005666,62.83618168,22.04099395,32.6917,34.1556,1.4639,47.0996,47.2889,0.1893,1,2,1,1,0,2,84,88,4,49.25,49.125,-0.125,0,0,0,26,bad,BIBIRI,0.231740237
