,Unnamed: 0,name,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,label
726,726,Yam15_Sue_0316_4,4,51,0.0021447620820254087,-6.1447266502246265,0.6343351315880374,0.05462897945024048,-0.5797061521377971,4.003040652398113,-6.8860477227258645,-10.88908837512398,4.123105625617661,-0.6689225739067132,0.9430558655712172,-1.6119784394779302,3
727,727,Yam15_Sue_0316_4,4,77,0.001,-6.907755278982138,0.0015382532465186838,0.0014812411177469453,-5.701212877173845e-05,-8.071545806653948,-10.290792389100806,-2.219246582446859,8.06225774829855,-0.9913417736706844,-0.9712936521967054,-0.020048121473979053,0
728,728,Yam15_Sue_0316_4,4,33,0.000935512944124639,-6.974415575761527,0.9832720514211732,0.9056109221326202,-0.07766112928855295,19.692323277046107,11.213534982660954,-8.47878829438516,2.8284271247461903,0.4766626974230485,0.88163442294587,-0.4049717255228216,3
729,729,Yam15_Sue_0316_4,4,25,0.0012657608604058625,-6.672081866937072,0.995905705812637,0.9955283395247828,-0.00037736628785411947,36.36623928766028,32.55338606707469,-3.812853220585581,7.071067811865476,0.4612482960123263,-0.9199144157899184,1.3811627118022445,5
730,730,Yam15_Sue_0316_4,4,83,0.0006680165533907713,-7.311197604209554,0.0017341167224881324,0.0019829278152976304,0.00024881109280949776,-7.17503934459602,-9.805544677963216,-2.6305053333671955,6.4031242374328485,-0.9918507772096574,-0.9780484820678272,-0.013802295141830291,0
731,731,Yam08_Kob_0301_2,4,31,0.001258747885003686,-6.677637794168318,0.9951669388434384,0.9903966535529845,-0.00477028529045409,32.084764866364964,27.475324925145742,-4.609439941219218,1.4142135623730951,0.23702977815453305,0.4322016456910922,-0.1951718675365592,4
732,732,Yam08_Kob_0301_2,4,71,0.0006401793798431754,-7.353762139876977,0.007223992553453296,0.0035136695159512232,-0.003710323037502072,-15.737626889414678,-19.64691103387455,-3.909284144459871,9.433981132056603,-0.9993145928814742,-0.9906151327360438,-0.008699460145430327,0
733,733,Yam08_Kob_0301_2,4,49,0.03169368952512741,-3.4516376865236555,0.9829531183753152,0.9805998107569278,-0.002353307618387257,18.592555065362244,17.767873248689135,-0.8246818166731096,0.0,-0.15919139759605466,-0.21567856780145084,0.0564871702053962,6
734,734,Yam08_Kob_0301_2,4,7,0.0008892527548596262,-7.025129049181976,0.9974809801219668,0.997616143854334,0.0001351637323672161,44.282261181235135,41.483819071463145,-2.798442109771976,5.0990195135927845,0.8421349317429063,0.9154690947553612,-0.07333416301245499,3
735,735,Yam08_Kob_0301_2,4,67,0.00068284897133708,-7.289236848266866,0.016535349554849033,0.005569829466141374,-0.010965520088707659,-11.756376827567903,-19.275890586339468,-7.519513758771566,9.219544457292887,-0.9943051373388964,-0.8755656298550255,-0.11873950748387085,4
736,736,Yam08_Kob_0301_2,4,87,0.0007784529589116572,-7.158201993806004,0.0019344643810546012,0.0015895158106133955,-0.00034494857044120586,-19.82127432398302,-22.08005560141732,-2.2587812774343057,3.1622776601683795,-0.1866665819822062,0.9733372845121544,-1.1600038664943604,0
737,737,Yam08_Kob_0301_2,4,9,0.0015445444732904436,-6.47302625140029,0.997532090910398,0.9973797002438646,-0.00015239066653338631,47.92599406774145,42.46210635006175,-5.463887717679698,2.23606797749979,0.8807066489340772,0.053666904236328965,0.8270397446977483,1
738,738,Yam08_Kob_0301_2,4,15,0.025360573083162308,-3.674559551751946,0.9965118784110192,0.9964884311711372,-2.344723988223496e-05,41.851243146677305,41.16488908699287,-0.6863540596844402,0.0,0.123862905656121,0.14345996858501084,-0.019597062928889825,3
739,739,Yam08_Kob_0301_2,4,77,0.420918881893158,-0.8653151434535508,0.0024593176272771355,0.002324862755347379,-0.00013445487192975672,-20.654131869507637,-24.436511922369537,-3.782380052861903,5.0990195135927845,0.7614522620582908,-0.9938814334393844,1.7553336954976753,0
740,740,Yam08_Kob_0301_2,4,85,0.0011260071769356728,-6.789077375452203,0.0018646369138415329,0.0016657590811677279,-0.00019887783267380502,-22.8700082789918,-24.854958221277126,-1.9849499422853327,9.0,-0.36003947118965257,0.8807149789120713,-1.2407544501017238,0
741,741,Yam08_Kob_0301_2,4,39,0.005575393792241812,-5.189392328750818,0.9929038706084494,0.9894884981772696,-0.0034153724311798412,25.856394539725343,19.462834032432667,-6.393560507292673,9.219544457292887,0.5005978333763375,0.8141257110326321,-0.3135278776562945,0
