,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,label
112,4,37,0.056342717,-2.876302288,0.99485265,0.996380304,0.001527654,39.87917733,34.35366409,-5.525513238,2.236067977,0.905585783,-0.64356451,1.549150293,1
113,4,75,0.001237702,-6.694498489,0.001051666,0.0010723,2.06E-05,-5.131439005,-5.28656757,-0.155128565,0,0.999737182,-0.999913415,1.999650596,0
114,3,31,0.000969509,-6.938720788,0.992655539,0.98980379,-0.002851749,27.52326236,22.99879751,-4.524464849,2.828427125,0.893820849,0.219380617,0.674440232,0
115,4,9,0.127468273,-2.059887784,0.996949243,0.996602468,-0.000346775,44.66549442,43.08168985,-1.583804567,1,0.438620494,0.072394849,0.366225645,0
116,2,47,0.088764526,-2.421768191,0.98278731,0.987264781,0.004477471,11.92195941,9.848227233,-2.073732172,9.433981132,-0.930900836,0.011870672,-0.942771508,0
117,2,89,0.001,-6.907755279,0.242509776,0.017308129,-0.225201646,-1.736109366,-6.34827346,-4.612164094,4.472135955,-0.788349087,0.978323816,-1.766672903,1
118,4,45,0.000619979,-7.385824869,0.972681686,0.941739034,-0.030942651,5.565059938,4.639398642,-0.925661296,5,-0.649473337,-0.69237637,0.042903033,1
119,2,27,0.000727648,-7.225693579,0.993419625,0.977429657,-0.015989968,20.64541714,14.48455637,-6.160860768,6.403124237,-0.53592889,-0.880275757,0.344346867,1
120,2,15,0.001,-6.907755279,0.992095632,0.99191567,-0.000179963,21.48163611,21.37338582,-0.108250288,0,0.603999104,0.488031572,0.115967531,0
121,4,5,0.536018789,-0.623586065,0.99742214,0.997485539,6.34E-05,51.94214375,50.5370063,-1.405137456,0,0.897853913,0.35835688,0.539497033,0
122,4,11,0.001154444,-6.76413628,0.996968183,0.996930565,-3.76E-05,41.81204946,41.23479304,-0.577256423,0,0.459139834,0.883419186,-0.424279351,0
123,4,85,0.001061084,-6.848464489,0.03081811,0.027562543,-0.003255567,-7.148106728,-6.872754897,0.27535183,0,0.992533691,0.529419324,0.463114367,1
124,2,73,0.343155086,-1.069572788,0.99637896,0.996071551,-0.000307408,7.183892315,6.739277868,-0.444614447,1,0.983585999,-0.976921466,1.960507466,1
125,2,37,0.001847095,-6.294141348,0.571842153,0.57626754,0.004425388,0.700122466,0.770286124,0.070163658,0,-0.929723425,0.902438193,-1.832161618,0
126,2,61,0.001,-6.907755279,0.934871636,0.807620145,-0.12725149,6.219939968,3.389358976,-2.830580992,2,0.956755995,-0.479573791,1.436329786,1
127,4,37,0.001142941,-6.774150253,0.996480347,0.995815679,-0.000664668,46.77838953,36.0886097,-10.68977983,10.29563014,0.915960256,-0.116042918,1.032003174,1
