,Unnamed: 0,name,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,trstbefore,trstafter,trstdiff,dist01,dist02,dist21,dist0b,dist2b,bdec30,wdec30,label
372,372,Tak03_Sue_0328_3,2,5,0.002121913246810436,-6.155437122373271,0.9940253023386132,0.9927341570786212,-0.0012911452599918551,26.780920472845374,23.92751383459895,-2.853406638246426,1.0,0.3471774430130833,-0.5688177035587625,0.9159951465718458,18.210215955677963,17.624122401647742,-0.5860935540302208,2.23606797749979,2.0,3.6055512754639887,1.0,2.8284271247461903,0,1,1
373,373,Tak03_Sue_0328_3,2,31,0.0012653772719204426,-6.67238496259468,0.97416728388671,0.8194721289354461,-0.15469515495126385,12.180679581400232,6.96937082719095,-5.211308754209282,2.23606797749979,-0.3025865334907385,-0.3919989828418644,0.0894124493511258,13.431838758774704,16.393943429893188,2.9621046711184835,1.0,2.23606797749979,1.4142135623730951,2.23606797749979,1.0,2,2,5
374,374,Tak03_Sue_0328_3,2,23,0.0024471932556480174,-6.012813521077759,0.9915491991298484,0.9748773881691856,-0.016671810960662947,21.235604303842596,13.101966993350814,-8.133637310491778,1.0,-0.08109048088000448,-0.10049279431640598,0.019402313436401503,16.786307404094913,14.464734714077721,-2.321572690017197,1.4142135623730951,1.0,1.0,1.0,0.0,0,4,3
375,375,Tak10_cho_0329_3,2,35,0.14898119866847992,-1.9039351644314977,0.9776729429174036,0.9700988492964157,-0.007574093620987931,11.958658006390975,8.919606164325993,-3.039051842064982,6.0,-0.8746343849198959,0.692903756184769,-1.5675381411046647,12.692083280025383,11.392766681406865,-1.2993165986185158,1.0,1.0,1.4142135623730951,6.0,7.071067811865476,0,1,5
376,376,Tak10_cho_0329_3,2,91,0.004072709009051323,-5.503446896754342,0.9661432036922176,0.9427551493535208,-0.02338805433869684,8.294010789245359,3.9641219660991855,-4.329888823146174,3.1622776601683795,0.5790258846752958,-0.9398587744410926,1.5188846591163885,10.256427048293855,7.873521876276051,-2.3829051720178054,10.63014581273465,10.0,1.0,3.1622776601683795,3.0,9,7,9
377,377,Tak10_cho_0329_3,2,27,0.09275945276021956,-2.3777456661354988,0.9933598616739352,0.9900956958760952,-0.003264165797840057,19.844621502238773,15.330544156456813,-4.514077345781958,2.0,0.20865739686025905,0.20125713711267373,0.0074002597475853185,14.470720469912813,13.991789512021894,-0.4789309578909186,2.23606797749979,1.0,2.0,2.0,0.0,1,5,9
378,378,Tak10_cho_0329_3,2,93,0.001,-6.907755278982138,0.9419869859028802,0.9346710274160244,-0.007315958486855846,3.8956154850786575,5.8479682610623565,1.9523527759836983,8.06225774829855,-0.8144603347731303,-0.8581595421955329,0.043699207422402735,7.8277758079533175,9.452634398601276,1.6248585906479596,5.0990195135927845,4.123105625617661,1.0,8.06225774829855,7.071067811865476,9,5,2
379,379,Tak10_cho_0329_3,2,83,0.001,-6.907755278982138,0.9938430346335544,0.9580420575064631,-0.035800977127091294,14.507087458179493,1.8796618172902768,-12.627425640889216,12.806248474865697,-0.9964767161884482,0.9998205891020416,-1.99629730529049,11.268428330318448,5.331123134282668,-5.937305196035782,1.4142135623730951,4.0,3.1622776601683795,12.806248474865697,9.899494936611664,3,9,6
380,380,Tak10_cho_0329_3,2,57,0.001,-6.907755278982138,0.9901800185433038,0.9886878167880528,-0.0014922017552509992,7.443562736299438,6.904691373306769,-0.53887136299267,0.0,0.9608053784118188,0.9666154764552858,-0.0058100980434669935,8.377351226879858,8.15902201754829,-0.21832920933156785,1.0,2.0,2.23606797749979,0.0,2.23606797749979,0,0,6
381,381,Sat07_cho_0302_1,4,7,0.008293992839753628,-4.792223780462682,0.9969959931631484,0.996438813447282,-0.0005571797158662184,44.15144793224097,40.764669876537106,-3.3867780557038785,2.23606797749979,0.2581863483801201,0.2688876083313402,-0.01070125995122012,23.79063710738169,22.98701105972476,-0.8036260476569268,1.0,1.4142135623730951,1.0,2.23606797749979,2.8284271247461903,0,0,5
382,382,Sat07_cho_0302_1,4,49,0.0018070744117721913,-6.316046088489863,0.02759824368259867,0.008154882105550376,-0.01944336157704829,-9.785752381002508,-18.929561411169203,-9.143809030166695,8.06225774829855,0.4926926900291634,-0.980034072170235,1.4727267621993985,10.133413890744984,9.612257417076894,-0.5211564736680891,6.0827625302982185,7.0,8.48528137423857,8.06225774829855,2.23606797749979,8,1,2
383,383,Sat07_cho_0302_1,4,15,0.0008889766177162527,-7.0254396245777615,0.9963915107315292,0.9951124933550852,-0.0012790173764440913,42.182148724269844,36.859798380062045,-5.322350344207784,2.0,0.3463724292858669,0.7201399739565719,-0.37376754467070505,23.02310857394669,22.23984609171318,-0.7832624822335141,1.0,1.0,1.4142135623730951,2.0,1.4142135623730951,0,0,1
384,384,Sat07_cho_0302_1,4,33,0.0007022301433607937,-7.261249368120813,0.9803516226356129,0.8055730954120142,-0.17477852722359888,21.01421313325027,7.753253522930255,-13.260959610320015,3.0,-0.8297059095030641,0.8080390246198427,-1.637744934122907,17.349872397332742,16.744272513333993,-0.6055998839987495,3.1622776601683795,4.242640687119285,2.0,3.0,1.0,1,2,0
385,385,Sat07_cho_0302_1,4,47,0.0020607078913599253,-6.184705718627687,0.2375236334052273,0.02633899035063936,-0.21118464305458795,-5.594974479424577,-10.635427887628158,-5.040453408203581,3.1622776601683795,0.09099686140327354,-0.989042884165396,1.0800397455686694,16.436432860857167,12.075460207087009,-4.360972653770158,5.0990195135927845,2.8284271247461903,3.1622776601683795,3.1622776601683795,0.0,9,4,6
386,386,Sat07_cho_0302_1,4,81,0.0042174612171947965,-5.468521939272312,0.0009297594098438556,0.001022136129315565,9.237671947170956e-05,-5.5056853195087685,-7.2801570389899215,-1.7744717194811532,11.180339887498945,0.9998743388624248,-0.9795127408984001,1.979387079760825,2.5993772786764238,3.1120238745910513,0.5126465959146267,7.6157731058639095,8.54400374531753,1.0,11.180339887498945,11.6619037896906,0,0,2
387,387,Sat07_cho_0302_1,4,87,0.000597458565607667,-7.42282562282649,0.0020095432994271523,0.0008862655827900355,-0.0011232777166371166,-4.835984807165478,-7.094784161693448,-2.2587993545279685,2.0,0.9998874101178254,0.999943415680418,-5.600556259255374e-05,2.4872224682754718,2.7731534338074826,0.28593096553201125,4.47213595499958,4.123105625617661,1.0,2.0,3.0,2,2,1
