name,move,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,label
Sat04_cho_0301_2,89,0.010885818,0.013033993,0.002148175,-5.973639851,-6.724347261,-0.750707409,1
Yam12_Sue_0316_1,13,0.999257121,0.99911145,-0.00014567,34.25397797,32.34142633,-1.912551637,1
Tak08_Kob_0329_1,89,0.998693341,0.997989515,-0.000703826,34.66141615,72.91341915,38.252003,1
Tak18_Kob_0329_11,65,0.989807934,0.966182107,-0.023625827,15.59736324,13.09530494,-2.502058295,1
Kat04_Sue_0326_1,17,0.999610621,0.999677646,6.70E-05,42.9544356,40.37860954,-2.575826053,1
Tak07_cho_0328_7,27,0.999723481,0.999732447,8.97E-06,49.73171763,53.87953223,4.147814602,1
Yas04_Sue_0328_4,11,0.997383741,0.996090196,-0.001293545,21.23653039,18.43017721,-2.806353179,1
Yas10_cho_0328_10,1,0.997201271,0.997149879,-5.14E-05,20.56724155,20.17822714,-0.389014408,1
Yas15_Sue_0328_15,79,0.020310324,0.011194601,-0.009115723,-3.86407454,-3.82342231,0.040652231,1
Mas04_Kob_0327_2,25,0.999736453,0.999726989,-9.46E-06,57.23564115,54.7167371,-2.518904049,1
Yas15_Sue_0328_15,55,0.778832446,0.774734895,-0.004097551,1.259058235,1.199093103,-0.059965131,1
Sat01_Ike_0229_1,133,0.000469039,0.000469907,8.68E-07,-19.78649792,-20.27914424,-0.492646325,1
Tak16_cho_0329_9,119,0.00604837,0.002507193,-0.003541176,-1.835875705,-1.85460239,-0.018726685,1
Yam10_cho_0301_4,9,0.999657018,0.999521534,-0.000135484,40.90077987,36.35901157,-4.541768291,1
Oon09_Sue_0329_9,29,0.931510861,0.930019959,-0.001490902,10.27614431,10.20349739,-0.072646925,1
Yam07_cho_0301_1,81,0.00200715,0.002086534,7.94E-05,-5.04833085,-5.034007958,0.014322892,1
Sat01_Ike_0229_1,33,0.996228685,0.996108232,-0.000120452,27.05590869,26.40722517,-0.64868352,1
Sat09_Sue_0302_3,23,0.998606417,0.998349013,-0.000257404,22.06711579,20.93013228,-1.136983515,1
Yam01_cho_0223_1,7,0.987862767,0.983100494,-0.004762273,13.94201563,12.85562131,-1.086394322,1
Oon04_Kob_0329_4,17,0.990660307,0.984160246,-0.006500062,13.63584532,11.36465331,-2.271192007,1
Sat16_cho_0304_2,121,0.001132617,0.001328991,0.000196374,-11.02407799,-12.23692108,-1.21284309,1
Sat13_cho_0303_3,111,0.000795581,0.000665494,-0.000130088,-28.46556882,-28.5125504,-0.046981576,1
